userId,similarUsers
277,11656;6262;4968;8107;7099;5596;12114;6300;11692;122
278,4027;4370;10538;9660;7512;6392;8873;7432;9247;8196
279,10048;11998;11677;4667;7200;8982;1649;5804;2993;3207
280,6028;2143;5548;12350;10681;1815;9517;12618;6854;11440
281,6341;5325;12192;8531;9352;3904;5583;5379;1847;8635
282,2995;6777;1777;8346;10917;1421;6149;12324;9278;9026
283,6983;11953;5276;9911;6183;2526;10981;8626;12636;12858
284,2237;9954;4959;12783;5949;7759;112;693;7476;3085
285,3966;8269;1000;4673;4701;5376;3820;7547;22;3990
286,8348;1720;6534;9737;7256;12692;1116;2420;11762;838
287,7462;11036;6071;9698;4570;5172;10416;3593;5908;1428
288,2385;2373;8968;11862;8439;1027;11709;5459;2736;6128
289,1746;11755;11802;5779;11839;3695;3361;5548;7989;9128
290,3851;1491;8376;949;10634;12120;11213;11505;3884;1299
291,8408;1029;2452;3574;11801;10811;4628;8711;12195;211
292,2995;6419;589;1407;1963;1571;3543;5096;356;1076
293,4042;1879;3847;1803;7120;10621;5085;4359;1265;7464
294,1816;7106;6063;8735;7301;10203;12488;4493;2577;2373
295,7555;3025;9313;2443;12751;7629;7046;6479;3175;5051
296,2785;9758;238;11775;576;8676;550;11696;437;4779
297,11497;12496;11915;9164;973;9250;443;3488;9093;2728
298,6734;2736;8698;10044;4792;11784;9754;2705;11410;11263
299,936;2136;11359;8546;5707;6646;1612;3662;1897;11426
300,6090;5759;4352;1069;3898;565;10447;8702;4230;10723
301,10317;3270;6927;8074;5905;10099;2625;5510;186;6554
302,8693;11780;608;1621;10128;4090;7157;6133;4104;1848
303,2194;12815;9706;9168;9910;8829;1645;9844;3575;5402
304,12779;12289;8641;1638;984;4999;7020;11755;3295;7277
305,11635;3138;9865;10832;9118;12726;2423;7487;12437;7439
306,566;5057;11822;1702;6842;7240;1732;8623;3432;9324
307,2504;11594;6871;4245;6159;6629;11723;12216;3825;6504
308,5042;9929;3765;12926;12535;2796;11473;5659;10313;11562
309,10389;6628;6883;9714;11420;7344;4905;4070;10699;8881
310,5238;1;3686;2770;5048;12148;1449;7439;11465;3283
311,1210;6439;11941;11288;4352;5718;241;11318;9342;7947
312,3029;11559;2961;4638;7735;10405;965;12664;7464;5945
313,7161;7117;5181;12105;228;6809;5419;5284;2064;8672
314,11904;9235;11553;12747;2165;12257;7691;3461;2551;6137
315,9619;5493;11675;2382;1052;2448;3438;3367;3995;8879
316,12870;4120;9204;6913;5813;5077;8208;1420;4925;7577
317,663;12651;1609;8504;7874;5717;5339;945;3899;7293
318,11768;8712;11763;3492;6844;5859;10610;4837;2130;327
319,5002;8887;1436;106;7596;12397;7182;3946;12802;9411
320,1744;3447;4804;8254;1134;8349;5462;8779;189;2348
321,1991;6813;3060;10092;10945;4838;8225;11441;5820;922
322,2653;12923;5057;3426;9165;12628;6898;9931;367;12879
323,2048;4734;4757;1341;4275;4035;3533;12214;4154;3372
324,3336;4725;171;8390;12026;5832;328;1263;8307;642
325,11373;5837;4925;9974;12725;2664;1195;476;7541;498
326,10537;2360;12647;128;4432;7647;2006;3499;12269;7975
327,8456;3883;1379;9171;11909;3556;5104;12291;11809;2602
328,5531;8390;3778;8115;9806;5389;7103;11605;5014;3041
329,1925;354;6210;8333;4605;2152;3736;238;1042;8254
330,9192;252;10870;5194;12112;11399;7161;2475;10285;7447
331,468;9162;5194;7641;11409;3452;1957;5819;6966;10091
332,11842;4142;5359;6815;10597;11754;11978;774;9923;6476
333,10956;12586;8203;2676;3198;4397;4338;2375;3664;3099
334,3093;9273;6702;2764;9769;7405;623;9954;10182;11139
335,8963;11550;11918;4703;6580;1218;12501;8684;3782;5458
336,9836;8751;3298;2488;4393;11839;6830;1551;4273;11802
337,8965;6119;8381;1957;1177;11358;11829;6144;9518;3405
338,12691;11943;10228;1597;878;8747;3482;7168;4554;6619
339,12098;11861;7875;12044;8677;11069;10751;9440;1709;9265
340,3885;3993;7098;11773;12269;8042;2595;8703;7832;9099
341,7639;6614;3128;872;5689;4507;2054;8101;7488;6123
342,3454;9753;9419;1559;5124;11995;2974;8038;7509;5156
343,12753;6087;11465;10426;4645;2849;10299;10317;8794;4562
344,1827;4422;5184;2503;12057;9933;4054;9559;7211;5248
345,4423;9642;1425;8744;12136;2616;4989;3671;9293;2267
346,12163;11517;1091;7470;3784;11772;8228;4771;3937;5839
347,1286;9235;3123;11893;2902;1627;8703;4268;6719;2867
348,1602;10868;1990;10951;12576;12347;6115;3035;11582;7200
349,8826;2860;2035;1786;4877;7660;8271;8582;9901;7591
350,1900;7736;12444;3272;4413;1376;9623;10168;7365;5231
351,11120;5750;11991;1629;5782;9018;1978;10573;7607;1825
352,9672;7159;5407;9261;6839;8926;801;53;2147;11039
353,7422;6727;2829;8440;2504;11949;6046;4766;11300;6059
354,4766;2473;7086;2777;329;6088;6306;5496;11632;9464
355,276;9230;627;4083;3412;3708;749;8957;7559;1053
356,4926;3457;4176;9405;10029;8823;7605;9586;292;11938
357,8103;3564;7725;7543;4231;11955;4277;1924;6706;7812
358,10854;9239;9941;3161;9111;8811;1728;8314;1526;6306
359,7899;5928;10540;419;6430;5238;12158;11139;7880;2846
360,10997;8086;12692;2318;5745;12602;9177;10626;11095;12679
361,2502;6015;12795;6257;8000;3478;8869;9568;7284;9383
362,11523;2963;12076;8703;6445;5176;1289;6694;7865;2211
363,12831;4456;74;1355;4800;5922;6519;2008;8972;6989
364,422;4689;11327;2766;4248;12687;8299;585;8899;8907
365,2684;6002;4265;1804;4626;11909;5254;44;1285;2474
366,4024;3159;5963;6284;7032;9997;8006;3146;8876;3245
367,2302;4126;9221;7979;3334;6155;7558;6290;1032;4064
368,12683;6486;8849;10754;5173;4359;6460;5444;2798;4463
369,3775;6775;10746;2225;1367;8605;1232;5865;6587;5392
